Example text data file for the plotdata command.
The data reading starts from the first long block of numbers.
The last line before the data can define column names, hashmarks "#"
are ignored.

# x  sin      cos
-5 0.958924 0.283662
-4.95 0.971903 0.235381
-4.9 0.982453 0.186512
-4.85 0.990547 0.137177
-4.8 0.996165 0.087499
-4.75 0.999293 0.0376022
-4.7 0.999923 -0.0123887
-4.65 0.998054 -0.0623485
-4.6 0.993691 -0.112153
-4.55 0.986844 -0.161676
-4.5 0.97753 -0.210796
-4.45 0.965773 -0.259389
-4.4 0.951602 -0.307333
-4.35 0.935053 -0.354509
-4.3 0.916166 -0.400799
-4.25 0.894989 -0.446087
-4.2 0.871576 -0.490261
-4.15 0.845984 -0.533209
-4.1 0.818277 -0.574824
-4.05 0.788525 -0.615002
-4 0.756802 -0.653644
-3.95 0.723188 -0.690651
-3.9 0.687766 -0.725932
-3.85 0.650625 -0.759399
-3.8 0.611858 -0.790968
-3.75 0.571561 -0.820559
-3.7 0.529836 -0.8481
-3.65 0.486787 -0.873521
-3.6 0.44252 -0.896758
-3.55 0.397148 -0.917755
-3.5 0.350783 -0.936457
-3.45 0.303542 -0.952818
-3.4 0.255541 -0.966798
-3.35 0.206902 -0.978362
-3.3 0.157746 -0.98748
-3.25 0.108195 -0.99413
-3.2 0.0583741 -0.998295
-3.15 0.00840725 -0.999965
-3.1 -0.0415807 -0.999135
-3.05 -0.0914646 -0.995808
-3 -0.14112 -0.989992
-2.95 -0.190423 -0.981702
-2.9 -0.239249 -0.970958
-2.85 -0.287478 -0.957787
-2.8 -0.334988 -0.942222
-2.75 -0.381661 -0.924302
-2.7 -0.42738 -0.904072
-2.65 -0.472031 -0.881582
-2.6 -0.515501 -0.856889
-2.55 -0.557684 -0.830054
-2.5 -0.598472 -0.801144
-2.45 -0.637765 -0.770231
-2.4 -0.675463 -0.737394
-2.35 -0.711473 -0.702713
-2.3 -0.745705 -0.666276
-2.25 -0.778073 -0.628174
-2.2 -0.808496 -0.588501
-2.15 -0.836899 -0.547358
-2.1 -0.863209 -0.504846
-2.05 -0.887362 -0.461073
-2 -0.909297 -0.416147
-1.95 -0.92896 -0.370181
-1.9 -0.9463 -0.32329
-1.85 -0.961275 -0.27559
-1.8 -0.973848 -0.227202
-1.75 -0.983986 -0.178246
-1.7 -0.991665 -0.128844
-1.65 -0.996865 -0.0791209
-1.6 -0.999574 -0.0291995
-1.55 -0.999784 0.0207948
-1.5 -0.997495 0.0707372
-1.45 -0.992713 0.120503
-1.4 -0.98545 0.169967
-1.35 -0.975723 0.219007
-1.3 -0.963558 0.267499
-1.25 -0.948985 0.315322
